key,Portuguese,English,Context / Notes
cap1_conversa_beatrice/say_304,Não precisa se envergonhar de chorar.,Don't be ashamed of crying.,
cap1_conversa_beatrice/say_305,Daniel abraça Beatrice.,Daniel gives Beatrice a hug.,
cap1_conversa_beatrice/say_306,Vai passar mais rápido se você deixar fluir.,It's better to let it all out.,
cap1_conversa_beatrice/say_307,"Os dois ficam abraçados por longos minutos, Beatrice chorando baixinho.",They hug each other for several minutes as Beatrice cries softly.,
cap1_conversa_beatrice/say_308,"A garota se acalma e esfrega os olhos, limpando as lágrimas.","Eventually, the girl pulls herself together and rubs at her eyes, wiping away the tears.",
cap1_conversa_beatrice/say_309,...Eu entendo como você se sente.,...I know how you feel.,
cap1_conversa_beatrice/say_310,Sua mãe...?,Your mother...?,
cap1_conversa_beatrice/say_311,"É. Ainda dói, de vez em quando. Mas com o tempo, você vai aprendendo a encarar as coisas de outra forma.","Yeah. It still hurts from time to time. But, in time, you learn to see things differently.",
cap1_conversa_beatrice/say_312,"Quando eu lembro dela hoje, eu choro pelo que eu perdi, mas também fico feliz pelos momentos que pudemos passar juntos.","When I remember her now, I cry for what I lost, but I'm also glad for the times we shared together.",
cap1_conversa_beatrice/say_313,"Beatrice faz um gesto com cabeça, concordando. A garota olha para o carvalho do parque, agora completamente coberto de flores-do-paraíso.","Beatrice nods her head. The girl looks at the oak tree at the park, now completely covered in Paradise Flowers.",
cap1_conversa_beatrice/say_314,...Estou pensando em seguir para outra área de pesquisa.,...I'm thinking about moving into a different field of research.,
cap1_conversa_beatrice/say_315,Alguma razão específica?,Any particular reason for that?,
cap1_conversa_beatrice/say_316,O amor é muito complexo. Reduzí-lo a hormônios ou feromônios ou uma flor...Eu acho que há mais do que isso.,"Love is too complex. Reducing it to the hormones or pheromones, or to something produced by a flower... I think there's more to it.",
cap1_conversa_beatrice/say_317,"Você me acompanharia? Não como assistente, mas...como um... parceiro?","Would you help me? Not as an assistant, but... as a... partner?",
cap1_conversa_beatrice/say_318,"E-eu não sei nada de ciência, só de cozinha! Você é inteligente demais para ter que aguentar alguém que nem eu.","I-I don't know anything about science, only cooking! You're too smart to have to put up with someone like me.",
cap1_conversa_beatrice/say_319,"Você sabe de muitas coisas. Você é gentil, compreensivo, emotivo. Eu quero alguém como você perto de mim.","You know a lot of things. You are kind, understanding, warm. I want someone like you by my side.",
cap1_conversa_beatrice/say_320,E-eu...gosto de você.,I-I... like you.,
cap1_conversa_beatrice/say_321,O coração de Beatrice se abriu!,Beatrice's heart has opened!,
cap1_conversa_beatrice/say_322,Eu também gosto de você.,I like you too.,
cap1_conversa_beatrice/say_323,O coração de Daniel se abriu!,Daniel's heart has opened!,
cap1_dia1/char_name_0,Delinquente,Delinquent,
cap1_dia1/char_name_1,???,???,
cap1_dia1/char_name_2,Professor,Teacher,
cap1_dia1/say_0,Deseja visualizar os tutoriais? (Recomendado caso não tenha jogado o jogo anteriormente),Would you like to view the tutorials? (Recommended if you haven't played the game before),
cap1_dia1/choices_0_0,"Sim, por favor.","Yes, please.",
cap1_dia1/choices_0_1,"Não, já conheço o sistema.","No, I already know how it works.",
cap1_dia1/say_1,"No dia seguinte, já no Mundo dos Humanos, Noelia começa sua primeira missão.","On the following day, already in the Human World, Noelia starts her first mission.",
cap1_dia1/say_2,"(Ok, então este é o meu primeiro humano, Daniel. Tá dizendo aqui que ele não é particularmente forte, inteligente nem carismático. Seus hobbies incluem: ler livros e cozinhar.)","(Alright, so this is your first human, Daniel. Says right here that he's not especially strong, intelligent or charismatic. His hobbies include: reading books and cooking.)",
cap1_dia1/say_3,(Aparentemente ele também não tem muita sorte com as garotas...),(It seems like he also doesn't have much luck with girls...),
cap1_dia1/say_4,"Passa agora o dinheiro do lanche, meu chapa!","Give me your lunch money, sucker!",
cap1_dia1/say_5,"(...e com os colegas de classe também, aparentemente.)","(...or with his classmates, so it seems.)",
cap1_dia1/say_6,M-Mas eu não tô com dinheiro nenhum. Eu sempre trago lanche de casa.,B-but I don't have any money. I always bring food from home.,
cap1_dia1/say_7,"Que perdedor! Além de ser um otário, nem dinheiro tem!","What a loser! Not only are you an idiot, but you're a poor idiot!",
cap1_dia1/say_8,"Pois é... Então p-por favor, pode me deixar ir? Não quero me atrasar pra aula...","Yeah, I know... So, p-please, can I go now? I don't want to be late for class...",
cap1_dia1/say_9,"Você é muito patético, você acha que vai resolver alguma coisa <color=#D73022>implorando</color>?","How pathetic, you think <color=#D73022>begging</color> will help you?",
cap1_dia1/say_10,"Vou te ensinar uma lição, seu <color=#D73022>covarde</color>!","I'm going to teach you a lesson, you <color=#D73022>coward</color>!",
cap1_dia1/say_11,Para! Eu não quero brigar...,Stop! I don't want to fight...,
cap1_dia1/say_12,Por que você não mexe com alguém do seu tamanho?,Why don't you pick on someone your own size?,
cap1_dia1/say_13,Ana?!,Anna?!,
cap1_dia1/say_14,"Qual é baixinha, vai encarar?","What's up, shorty, cruisin' for a bruisin'?",
cap1_dia1/say_15,"Eu vou, não posso deixar que machuque o meu amigo assim!",I won't let you hurt my friend like this!,
cap1_dia1/say_16,"Cuidado, Ana!","Be careful, Anna!",
cap1_dia1/say_17,"Não se preocupe, eu sei me virar.","Don't worry, I know how to take care of myself.",
cap1_dia1/say_18,Você até que é forte... Mas isso não vai ficar assim!,You're pretty strong... But this is not the end of it!,
cap1_dia1/say_19,E não volte a incomodar!,Never get in our way again!,
cap1_dia1/say_20,"Valeu Ana, esse cara me enche o saco toda hora.","Thanks, Anna... That guy picks on me all the time.",
cap1_dia1/say_21,"Eu sei. O que seria de você sem mim, hein?","I know. What would you do without me, huh?",
cap1_dia1/say_22,"Haha, convencida você. Mas obrigado mesmo, vou dividir o lanche que eu fiz contigo.","Haha, full of yourself as usual. But, thank you, I mean it. Here, I'll share my lunch with you.",
cap1_dia1/say_23,"Eba, eu adoro seus bolos!","Ooh, I love your cakes!",
cap1_dia1/say_24,Você tá bem? Ele te machucou?,Are you okay? Did he hurt you?,
cap1_dia1/say_25,"Nada, é só um fracote convencido. E você?","Not at all, he's just an arrogant wimp. And you?",
cap1_dia1/say_26,"Não me machucou, mas...","He didn't hurt me, but...",
cap1_dia1/say_27,...Algo que ele falou está me incomodando.,...Something he said bothered me.,
cap1_dia1/say_28,O que é?,What's that?,
cap1_dia1/say_29,Ele falou que eu sou um covarde que só sabe implorar...,He said I'm a coward and all I do is beg...,
cap1_dia1/say_30,Você não é um covarde!,You are not a coward!,
cap1_dia1/say_31,Claro que eu sou. Eu nem consigo me declarar para a menina que eu gosto.,Am too. I don't even have the courage to share my feelings with the girl I like.,
cap1_dia1/say_32,Ana engole em seco.,Anna swallows.,
cap1_dia1/say_33,...A Clara.,...Claire.,
cap1_dia1/say_34,"É aquela que se mudou para a nossa turma no começo do ano, né?","The girl who got transferred to our class at the start of the year, right?",
cap1_dia1/say_35,"Ela mesma. Ela é incrível, a menina dos meus sonhos!","The one and the same. She's amazing, she's the girl of my dreams!",
cap1_dia1/say_36,"Você gosta mesmo dela, hein? Tem quantos anos isso?","You really like her, huh? How long have you felt like this?",
cap1_dia1/say_37,"Faz... muito tempo. Sei lá, uns seis anos?","It's been... a long time. I don't know, maybe six years?",
cap1_dia1/say_38,Você poderia tentar falar com ela.,You could try talking to her.,
cap1_dia1/say_39,"Ela é muito popular, todo mundo gosta dela. Acho que eu não teria nenhuma chance.","She's really popular, everybody likes her. I don't think I'd stand a chance with her.",
cap1_dia1/say_40,"E, você sabe...","Well, it's up to you...",
cap1_dia1/say_41,"Daniel abaixa o rosto e continua a falar, de forma encabulada.","Daniel lowers his head and keeps talking, embarrassed.",
cap1_dia1/say_42,Já estamos terminando o terceiro ano e eu nunca beijei uma garota.,I'm about to graduate from third year and I've never kissed a girl.,
cap1_dia1/say_43,Se eu chegar na faculdade sem nunca ter beijado alguém vou ser motivo de piada pra sempre.,"If I go to college without ever having kissed anyone, I'll be the butt of everyone's jokes forever.",
cap1_dia1/say_44,E provavelmente vou morrer sozinho.,And I'll probably die alone.,
cap1_dia1/say_45,"Calma, não é assim!","Relax, that's not how it works!",
cap1_dia1/say_46,"Você é legal, com certeza vai encontrar alguém. Tenta falar com a Clara! Você não vai saber se tem chances se não tentar.","You're really nice, I'm sure you'll meet someone someday. Try talking to Claire! You won't know if you have a chance if you never try.",
cap1_dia1/say_47,"Daniel leva a mão ao queixo, pensativo. Depois de ponderar por um minuto, ele concorda.","Daniel rests his chin on his hand and sits there for a while, deep in thought. After a while, he agrees.",
cap1_dia1/say_48,Tudo bem. Tenho que aproveitar antes que o ano acabe.,Alright. I have to make the most of this year before it's over.,
cap1_dia1/say_49,Esse é o espírito!,That's the spirit!,
cap1_dia1/say_50,Durante a aula...,In class...,
cap1_dia1/say_51,"Então por hoje é só, pessoal. E pra completar a nota de vocês, eu vou passar aquele trabalho sobre a matéria de hoje.","Well, that's all for today, class. Once you're done with your notes, I'll give you some homework based on what we've covered in class today.",
cap1_dia1/say_52,Eu escrevi os nomes de vocês nestes papéis e vou sortear duplas...,I've got your names written down on these paper slips and I'm going to draw pairs...,
cap1_dia1/say_53,"(Eita, eu posso interferir no sorteio se eu quiser. Será que devo interferir agora?)","(Ooh, I could interfere now if I wanted to. Should I mess with which names are drawn?)",
cap1_dia1/choices_1_0,Formar dupla Daniel e Clara,Pair Daniel and Claire together,
cap1_dia1/choices_1_1,Não interferir,Don't interfere,
cap1_dia1/say_54,(Vou alterar aqui o papel sorteado pelo professor...),(I'm gonna make the teacher draw the names I need...),
cap1_dia1/say_55,(Pronto!),(Done!),
cap1_dia1/say_56,(Acho melhor ainda não.),(I think it's better to leave it be.),
cap1_dia1/say_57,E a primeira dupla sorteada é: Daniel e...,And our first pair is: Daniel and...,
cap1_dia1/say_58,...Clara!,...Claire!,
cap1_dia1/say_59,Neste momento pode-se ouvir um sonoro \qAaaaaaah\q de descontentamento de vários garotos pela sala.,A resounding \qAaaaaaw\q of disappointment is heard from several boys in the classroom.,
cap1_dia1/say_60,Eles parecem tristes por não terem sido a dupla da Clara.,Sounds like they're upset they didn't get to pair up with Claire.,
cap1_dia1/say_61,(Caramba! Que sorte a minha! Vou fazer o trabalho de dupla com a Clara!),(Daaang! How lucky am I?! I'm going to work with Claire!),
cap1_dia1/say_62,"(De nada, viu..)",(You're welcome...),
cap1_dia1/say_63,"O sorteio continua por alguns minutos, e então chega a hora do intervalo.","The teacher continues to pair up students for a few minutes, then it's recess time.",
cap1_dia1/say_64,Daniel está arrumando alguns livros na mochila quando Clara se levanta e vai andando até ele.,Daniel is packing books away into his backpack when Claire gets up and walks over to him.,
cap1_dia1/say_65,"Oi! Você é o Daniel, né?","Hi! You're Daniel, right?",
cap1_dia1/say_66,Acho que vamos fazer esse trabalho juntos.,I think we're supposed to do this assignment together.,
cap1_dia1/say_67,A garota possui um belo sorriso.,This girl has a beautiful smile.,
cap1_dia1/say_68,Daniel começa a suar e fica visivelmente alterado.,Daniel breaks into a sweat and starts acting weird.,
cap1_dia1/say_69,"Er.. S-sim, sou eu! Estou ansioso para t-trabalharmos juntos...","Erm... Y-yes, that's me! I'm looking forward to us w-working together...",
cap1_dia1/say_70,"Ah, que bom! Você pode vir lá em casa depois da aula, então?","Ah, great! Can you come to my house after class then?",
cap1_dia1/say_71,Na sua... ca-casa?,To your... h-house?,
cap1_dia1/say_72,Clara faz uma cara pensativa.,Claire looks thoughtful.,
cap1_dia1/say_73,"Pensando bem, tá tendo reforma por lá. Seria muito barulhento. Podemos fazer na sua casa, então?","Come to think about it, we're having some renovations done. It'd be too noisy. Can we work at your house instead?",
cap1_dia1/say_74,C-claro! Aqui está meu endereço...,O-of course! Here's my address...,
cap1_dia1/say_75,Tá bom então! A gente se vê mais tarde.,"OK then, great! See you later.",
cap1_dia1/say_76,Daniel volta a arrumar seu material para a próxima aula.,Daniel goes back to packing his things for the next class.,
cap1_dia1/say_77,"Sutil você, hein...","Subtle, eh?",
cap1_dia1/say_78,"Ah, o quê? Você acha que ficou muito óbvio que eu gosto da Clara?","Ah, what? Do you think it was too obvious that I like Claire?",
cap1_dia1/say_79,Com certeza! Só faltou beijar o chão onde ela pisou.,"Yeah, I do! All that was missing was you kissing the ground she walks on.",
cap1_dia1/say_80,"É, você tá certa. Vou tentar manter a calma quando estiver com ela.","Yeah, you're right. I'll try to get my act together when I'm around her.",
cap1_dia1/say_81,"Acho bom mesmo, pra você não estragar suas chances com ela!","You should, otherwise you'll ruin your chances with her!",
cap1_dia1/say_82,Er... Valeu pelo apoio.,Erm... Thanks for the support.,
cap1_dia1/say_83,"Ei, venha lanchar comigo lá no ginásio durante o intervalo! Eu trouxe um lanche muito gostoso.",Hey! Come and get something to eat with me on the gym during recess! I brought a really tasty snack.,
cap1_dia1/say_84,"Beleza, mas eu preciso-","Cool, but I have to—",
cap1_dia1/say_85,Ana sai correndo pela porta antes que Daniel conseguisse responder.,Anna runs off before Daniel gets a chance to reply.,
cap1_dia1/say_86,-passar na biblioteca antes...,—go to the library first...,
cap1_dia1/say_87,(O meu humano parece indeciso. Ele deveria ir para a biblioteca ou ir lanchar com a amiga agora?),(It looks like my human is indecisive. Should he head to the library or have a snack with his friend now?),
cap1_interaction_pins/set_pin_location_0,Quarto,Bedroom,
cap1_interaction_pins/set_pin_location_1,Refeitório,Dining Hall,
cap1_interaction_pins/set_pin_location_2,Casa,Home,
cap1_interaction_pins/set_pin_location_3,Academia,Gym,
cap1_interaction_pins/set_pin_location_4,Biblioteca,Library,
cap1_interaction_pins/set_pin_location_5,Festa,Party,
cap1_interaction_pins/set_pin_location_6,Investigar,Investigate,
cap1_interaction_pins/set_pin_location_7,Sala de Aula,Classroom,
cap1_investigar/say_0,"Vou até a casa da \girl e entro em seu quarto pela janela, sem ser percebida.","I go to \girl's house and get into her room through the window, without anyone noticing.",
cap1_investigar/say_1,"(Ela não está no quarto. Eu escuto um barulho vindo da sala, ela deve estar por lá.)","(She's not in her room. I hear sounds coming from the living room, she must be there.)",
cap1_investigar/say_2,(Vou aproveitar enquanto ela não volta para dar uma investigada em suas coisas.),(I'll make the most of her absence and investigate a few things.),
cap1_investigar/say_3,(O que eu deveria investigar?),(What should I investigate?),
cap1_investigar/choices_0_0,Mesa,Table,
cap1_investigar/choices_0_1,Cama,Bed,
cap1_investigar/choices_0_2,Guarda-roupas,Closet,
cap1_investigar/choices_0_3,Armário,Dresser,
cap1_investigar/choices_0_4,Checar Ana,Check on Anna,
cap1_investigar/choices_0_5,Ir Embora,Leave,
cap1_investigar/say_4,"(No armário eu encontro vários materiais do colégio, além de um porta-retrato.)","(In the dresser, I find a bunch of school supplies, as well as a framed picture.)",
cap1_investigar/say_5,(Na foto há Ana e Daniel crianças. Ambos estão abraçando um pequeno cachorrinho pug.),(It's a photo of Anna and Daniel when they were younger. They're hugging a pug puppy.),
cap1_investigar/say_6,(Também encontro uma chave. Eu deveria pegá-la?),(I also find a key. Should I take it?),
cap1_investigar/say_7,(Em cima da mesa eu encontro um pequeno livro escrito\qDiário\q. Devo abrí-lo para ler?),"(On the table, there is a small book with the word \qDiary\q written on it. Should I open and read it?)",
cap1_investigar/say_8,"(Ele está trancado, mas eu consigo destrancá-lo usando a Chave Delicada.)","(It's locked, but I can unlock it with the Delicate Key.)",
cap1_investigar/say_9,(A maioria dos registros fala sobre como a Ana treinou duro no basquete ou se ela viu o Daniel e ele a irritou nesse dia.),"(Most of the entries are about Anna's basketball training, whether she saw Daniel and how much he annoyed her that day.)",
cap1_investigar/say_10,"(Tem um interessante aqui: \qPassei na frente de uma padaria e vi um bolo de cenoura, me deu água na boca. Faz tanto tempo que o Daniel não faz um desses pra mim...\q)","(There's an interesting entry here: \qI walked past a bakery and saw a carrot cake, it made my mouth water. It's been so long since Daniel made one of those for me...\q)",
cap1_investigar/say_11,(Ele está trancado. A chave deve estar por aqui em algum lugar...),(It's locked. The key must be around here somewhere...),
cap1_investigar/say_12,(Abrindo o guarda-roupas encontro muitas roupas coloridas.),"(Opening the closet, I find a lot of brightly-colored clothes.)",
cap1_investigar/say_13,(Este tipo de roupas parece ser bom para fazer esportes.),(These look like sports clothes.),
cap1_investigar/say_14,(Eu deveria pegar uma dessas?),(Should I take one of these?),
cap1_investigar/say_15,"(A cama está bagunçada, tem algumas roupas jogadas por cima dela.)","(The bed is messy, with clothes strewn in a heap on top of it.)",
cap1_investigar/say_16,(Também tem um ursinho de pelúcia antigo. Eu deveria pegá-lo?),(There's also an old teddy bear. Should I take it?),
cap1_investigar/say_17,(Vou devagarzinho até a porta do quarto observar Ana na sala. Ela está assistindo tv.),(I slowly inch towards the door to watch Anna in the living room. She's watching TV.),
cap1_investigar/say_18,(Está passando um jogo de basquete muito disputado.),(There's an intense basketball on.),
cap1_investigar/say_19,"(A garota está muito animada, torcendo para um dos times.)",(The girl is cheering excitedly for one of the teams.),
cap1_investigar/choices_5_0,Mesa,Table,
cap1_investigar/choices_5_1,Cama,Bed,
cap1_investigar/choices_5_2,Guarda-roupas,Closet,
cap1_investigar/choices_5_3,Armário,Dresser,
cap1_investigar/choices_5_4,Checar Beatrice,Check on Beatrice,
cap1_investigar/choices_5_5,Ir Embora,Leave,
cap1_investigar/say_20,(Sobre a mesa há vários bloquinhos e notas escritas à mão sobre experimentos.),(On the table there are several notepads and hand-written notes about experiments.),
cap1_investigar/say_21,(Deveria pegar uma dessas anotações?),(Should I take one of these notes?),
cap1_investigar/say_22,(A cama está bem arrumada e com lençol dobrado. Sobre ele há um celular.),(The bed is neatly made and the sheets are folded. There's a cellphone on it.),
cap1_investigar/say_23,(Devo abrir o celular para analisar?),(Should I open the cellphone to investigate?),
cap1_investigar/say_24,"(Na tela inicial tem aplicativos de busca, de escrita e a galeria. Curiosamente, nenhum de troca de mensagens ou rede social.)","(On the home screen, there are search apps, a writing app and the gallery. Strangely, no messaging apps or social networks.)",
cap1_investigar/say_25,"(Na galeria tem várias fotos de pessoas diversas, incluindo Daniel. As fotos estão em ângulos estranhos, provavelmente indicando que Beatrice estava escondida ao tirá-las.)","(The gallery has many photos of different people, including Daniel. The photos are taken from strange angles, probably indicating that Beatrice was taking them secretly.)",
cap1_investigar/say_26,(Abrindo o guarda-roupas encontro algumas roupas cinzas e bem simples.),"(Opening the closet I find some grey, nondescript clothing.)",
cap1_investigar/say_27,(Também há algumas luvas e jalecos de proteção.),(There are also some protective gloves and lab coats.),
cap1_investigar/say_28,(Eu deveria pegar um desses?),(Should I take one of these?),
cap1_investigar/say_29,"(Procurando um pouco melhor, eu encontro uma chave delicada no bolso de um jaleco. Deveria pegá-la?)","(Searching a bit more, I find a delicate key in one of the lab coats' pocket. Should I take it?)",
cap1_investigar/say_30,(Sobre o armário há alguns rascunhos escritos à mão. Nele há uma gavetinha. Deveria tentar abrí-la?),(On top of the dresser there are some hand-written manuscripts. The dresser has a small drawer. Should I try to open it?),
cap1_investigar/say_31,"(Ela está trancada, mas eu consigo destrancá-la usando a Chave Delicada.)","(It's locked, but I can unlock it with the Delicate Key.)",
cap1_investigar/say_32,"(Dentro da gaveta há vários livros de química, psicologia e sobre relacionamento humano. No meio destes, cadernos escritos à mão e anotações.)","(Inside the drawer, there are several books about chemistry, psychology and human relationships. There are also handwritten notebooks and notes.)",
cap1_investigar/say_33,(Também há um recorte de jornal com uma foto de um homem que se parece com ela. Eu deveria pegá-lo?),(There's also a newspaper clipping with a photo of a man who looks like her. Should I take it?),
cap1_investigar/say_34,(Ela está trancada. Onde será que está a chave?),(It's locked. I wonder where the key is?),
cap1_investigar/say_35,"(Vou devagarzinho até a porta do quarto observar Beatrice na sala. Ela está sentada na mesa, escrevendo algum tipo de fórmula matemática.)","(I slowly inch toward the door of the bedroom to spy on Beatrice in the living room. She's sitting at the table, writing some sort of math formula.)",
cap1_investigar/say_36,(Vez ou outra a garota folheia uns livros de ciências e consulta anotações de um caderno grande. Há uma pilha de pastas e papéis sobre a mesa.),(From time to time the girl flicks through some science books and consults notes from a big notebook. There are piles of files and papers on the table.),
cap1_investigar/say_37,(Ela está muito concentrada e focada.),(She looks very focused.),
cap1_investigar/choices_12_0,Mesa,Table,
cap1_investigar/choices_12_1,Cama,Bed,
cap1_investigar/choices_12_2,Guarda-roupas,Closet,
cap1_investigar/choices_12_3,Armário,Dresser,
cap1_investigar/choices_12_4,Checar Clara,Check on Claire,
cap1_investigar/choices_12_5,Ir Embora,Leave,
cap1_investigar/say_38,(Dentro do armário há um antigo par de sapatilhas de balé e alguns materiais do colégio.),"(Inside the dresser, there's an old pair of ballet shoes and some school supplies.)",
cap1_investigar/say_39,(Uma das gavetas possui uma fechadura delicada. Devo tentar abrí-la?),(One of the drawers has a delicate lock on it. Should I try to open it?),
cap1_investigar/say_40,"(Ela está trancada, mas eu consigo destrancá-la usando a Chave Delicada.)","(It's locked, but I can unlock it with the Delicate Key.)",
cap1_investigar/say_41,(Dentro da gaveta há alguns doces e papéis de bala variados.),"(Inside the drawer, there's some candy and a variety of candy wrappers.)",
cap1_investigar/say_42,(Também há um bolo de chocolate que parece bem gostoso. Eu deveria pegá-lo?),"(There's also a chocolate cake, which looks delicious. Should I take it?)",
cap1_investigar/say_43,(Ela está trancada. Onde será que está a chave?),(It's locked. I wonder where the key is?),
cap1_investigar/say_44,(Em cima da mesa eu encontro um pequeno livro escrito\qAgenda\q. Devo abrí-lo para ler?),"(On the table, I find a small book with the word \qPlanner\q written on it. Should I open it to read?)",
cap1_investigar/say_45,"(Na agenda está a programação semanal para atividades da Clara. Há várias atividades fora o colégio, como aulas de piano, inglês, até de etiqueta.)","(The planner lists Claire's weekly activity schedule. There are several extracurricular activities, such as piano lessons, English lessons, even Etiquette lessons.)",
cap1_investigar/say_46,"(Os dias estão totalmente preenchidos, desde a hora de acordar até a de dormir.)","(She has a really busy schedule, from the minute she wakes up until she goes to sleep.)",
cap1_investigar/say_47,(Abrindo o guarda-roupas encontro muitas roupas delicadas e bonitas.),"(Opening the closet, I find many delicate pretty garments.)",
cap1_investigar/say_48,(Em particular há muitos vestidos floridos.),(Especially a lot of floral dresses.),
cap1_investigar/say_49,(Eu deveria pegar um desses?),(Should I take one of these?),
cap1_investigar/say_50,"(A cama está muito bem arrumada, com uma bonita colcha de cama e lençóis bem dobrados.)","(The bed is made, with a pretty bedspread and nicely folded sheets.)",
cap1_investigar/say_51,(Eu encontro uma chave debaixo de um dos travesseiros. Eu deveria pegá-la?),(I find a key under one of the pillows. Should I take it?),
cap1_investigar/say_52,"(Vou devagarzinho até a porta do quarto observar Clara na sala. Ela está conversando com uma mulher mais velha, que deve ser sua mãe.)","(I slowly inch toward the door to watch Claire in the living room. She's talking to an older woman, who's probably her mother.)",
cap1_investigar/say_53,(A mulher está reclamando sobre como a Clara demorou para voltar da casa de Daniel hoje.),(The woman is complaining that Claire was late getting back from Daniel's house today.),
cap1_investigar/say_54,(A mulher está reclamando sobre como a Clara se atrasou para uma das atividades da agenda de hoje.),(The woman is complaining that Claire was late for one of her scheduled activities today.),
cap1_investigar/say_55,"(A garota está cabisbaixa, concordando silenciosamente com o sermão da mãe.)","(The girl has her head down, silently listening to her mother's lecture.)",
cap1_investigar/say_56,"(Eu escuto barulhos de passos, acho que ela está voltando para seu quarto. Vou dar o fora antes que ela me veja.)","(I hear the sound of footsteps, I think she's coming back to the room. I'll leave before she sees me.)",
cap1_late_night/say_0,Noelia volta para a casa de Daniel. Ela se esconde debaixo da cama do garoto para descansar até o dia seguinte.,Noelia goes back to Daniel's house. She hides under the boy's bed to rest until the next day.,
cap1_tarde/say_0,Durante a tarde...,In the afternoon...,
date/say_0,"\couple estavam andando tranquilamente em direção ao local \vsn(date_objective), quando de repente...","\couple were walking calmly towards the location \vsn(date_objective), when suddenly...",
date/say_1,O casal continua indo em direção ao seu objetivo.,The couple keeps walking towards their objective.,
date/say_2,"Após os ânimos se acalmarem, o casal continua conversando.","Once everything has calmed down, they continue talking.",
date/say_3,"O casal sente que está chegando mais perto do seu objetivo, mas dessa vez...","The couple feels like they're getting closer to their objective, but...",
date/say_4,"O encontro acabou, e foi um <color=#38A662>grande sucesso</color>!","The date ends, and it was a <color=#38A662>huge success</color>!",
date/say_5,Noelia adquiriu <sprite=\qAttributes\q index=4><color=#BE45B7>\vsn(money_accumulated) Amor</color>!,Noelia earned <sprite=\qAttributes\q index=4><color=#BE45B7>\vsn(money_accumulated) Love</color>!,
date/say_6,\couple decidem que o encontro não está dando certo.,\couple decide that the date is not going well.,
date/say_7,Podemos continuar esse encontro outro dia...,We can continue this date some other time...,
date/say_8,"Sim, com certeza será melhor...","Yes, that's for the best...",
date/say_9,O encontro acabou de forma <color=#D73022>insatisfatória</color>.,The date ended on an <color=#D73022>unsatisfactory</color> note.,
date/say_10,"Mesmo assim, os desafios que eles venceram os aproximou.","However, the challenges they overcame brought them closer together.",
date/say_11,Noelia adquiriu <sprite=\qAttributes\q index=4><color=#BE45B7>\vsn(money_accumulated) Amor</color>!,Noelia earned <sprite=\qAttributes\q index=4><color=#BE45B7>\vsn(money_accumulated) Love</color>!,
forbidden_interaction/say_0,\boy não pode convidar \girl para encontros ainda. O nível mínimo de relacionamento necessário é 2.,\boy cannot invite \girl to Dates yet. The minimum relationship level required is 2.,
forbidden_interaction/say_1,\boy não pode convidar \girl para este encontro ainda. O nível mínimo de relacionamento necessário é 4.,\boy cannot invite \girl to this Date yet. The minimum relationship level required is 4.,
forbidden_interaction/say_2,\boy não pode convidar \girl para este encontro ainda. O nível mínimo de relacionamento necessário é 7.,\boy cannot invite \girl to this Date yet. The minimum relationship level required is 7.,
forbidden_interaction/say_3,"\boy não pode presentear \girl ainda. Para isto, é necessário que eles alcancem pelo menos o nível de proximidade <color=#D73022>Amigos Próximos</color>.","\boy cannot give gift \girl yet. For this, they need to reach the minimum closeness level of <color=#D73022>Close Friends</color>.",
forbidden_interaction/say_4,Você não tem Pontos de Vínculo suficientes para comprar esta habilidade.,You don't have enough Connection Points to buy this skill.,
save_load_functions/say_0,Este arquivo já possui dados salvos. Você deseja sobrescrever estes dados?,This file already contains saved data. Do you want to overwrite the data?,
save_load_functions/choices_0_0,Confirmar salvar,Confirm save,
save_load_functions/say_1,O jogo foi salvo com sucesso!,The game was successfully saved!,
save_load_functions/say_2,Você deseja continuar este arquivo? Todo o progresso não-salvo será perdido.,Do you want to continue this file? All unsaved progress will be lost.,
save_load_functions/choices_1_0,Continuar arquivo,Continue file,
save_load_functions/say_3,Você deseja sair para a tela de título? Todo o progresso não-salvo será perdido.,Do you want to exit to the title screen? All unsaved progress will be lost.,
save_load_functions/choices_2_0,Sair do jogo,Exit game,
shop/say_0,"Oi Noelia, como tão indo as coisas?","Hi, Noelia, how's it going?",
shop/say_1,"Tudo indo bem, na medida do possível. Já encontrei meu humano e algumas garotas com quem eu acho que ele tem chance.",As good as can be expected. I met my human and some girls whom I think he might stand a chance.,
shop/say_2,"Ai, que legal! Eu tô com taaanta inveja!","Aw, that's great! I'm sooooo jealous!",
shop/say_3,Trabalhar diretamente com humanos deve ser a coisa mais legal do mundo!,Working directly with humans has got to be the coolest thing in the world!,
shop/say_4,"É... Eu não tenho tanta certeza assim. E contigo, como vão as coisas?","Yeah... I'm not so sure. Anyway, what's going on with you?",
shop/say_5,"Tô adorando, eu recebo todo tipo de itens humanos e posso ficar com eles. Tô até colecionando!",I'm loving my job! I get all kinds of human items and I can even keep them. I started collecting them!,
shop/say_6,Que legal! Será que tem algo que poderia me ajudar a juntar meu casal?,That's awesome! Anything that could help me bring my couple together?,
shop/say_7,"Tenho, sim! Inclusive queria te entregar isso aqui.","Sure thing! Actually, I wanted to give you this.",
shop/say_8,Isso vai te ajudar com seus humanos. Eu li num mangá que bolo é a principal fonte de alimento deles.,This should help you with your humans. I read in a manga once that cake is their main food source.,
